,T-1,T-2,T-3,T-4,T-24,T-48,T-72,T-96,DAY,SEASON,TEMP,HUMIDITY,T
5397,947.1858405255009,997.0377268689483,997.0377268689483,2264.7811385544514,866.3579575394917,799.4522989447212,990.5252158324895,880.4014254872602,0.0,0.0,80.0,90.0,889.6644332061386
5398,889.6644332061386,947.1858405255009,997.0377268689483,997.0377268689483,789.0045684734657,747.3141055352828,914.2630187752318,846.5398321992888,0.0,0.0,80.0,90.0,856.7138986429482
5399,856.7138986429482,889.6644332061386,947.1858405255009,997.0377268689483,758.0632128470553,712.5553099289906,846.5398321992888,846.5398321992888,0.0,0.0,80.0,90.0,807.2880967981627
5400,807.2880967981627,856.7138986429482,889.6644332061386,947.1858405255009,1661.7295447815804,634.2977903414136,2241.942316605848,1608.4256811786486,0.0,0.0,81.0,78.0,1673.1610801115353
5401,1673.1610801115353,807.2880967981627,856.7138986429482,889.6644332061386,1661.7295447815804,634.2977903414136,2394.910981752505,1608.4256811786486,0.0,0.0,81.0,78.0,1673.1610801115353
5402,1673.1610801115353,1673.1610801115353,807.2880967981627,856.7138986429482,1661.7295447815804,623.3616215424238,2687.8137636934594,1608.4256811786486,0.0,0.0,81.0,78.0,1673.1610801115353
5403,1673.1610801115353,1673.1610801115353,1673.1610801115353,807.2880967981627,1661.7295447815804,623.3616215424238,3064.31744196334,1594.4393709075298,0.0,0.0,82.0,78.0,1673.1610801115353
5404,1673.1610801115353,1673.1610801115353,1673.1610801115353,1673.1610801115353,1647.5267281595159,653.7695055201029,3378.4950039736627,1829.9982807368972,0.0,0.0,82.0,78.0,1741.5424459943547
5405,1741.5424459943547,1673.1610801115353,1673.1610801115353,1673.1610801115353,1877.7543856031862,1235.7870742858577,4614.529761525003,2226.0316978875207,0.0,0.0,82.0,78.0,1741.5424459943547
5406,1741.5424459943547,1741.5424459943547,1673.1610801115353,1673.1610801115353,2664.164341966914,1404.0973794605557,5185.05344113173,3083.318905347774,0.0,0.0,84.0,76.0,2020.5966157033913
5407,2020.5966157033913,1741.5424459943547,1741.5424459943547,1673.1610801115353,2567.8692452693144,2134.9535382223194,3558.431700194166,3313.1360667500508,0.0,0.0,84.0,76.0,2576.668063371764
5408,2576.668063371764,2020.5966157033913,1741.5424459943547,1741.5424459943547,2596.9850193445473,2090.9421272019936,5106.846151017573,3843.2908381847706,0.0,0.0,84.0,76.0,2637.1928467914513
5409,2637.1928467914513,2576.668063371764,2020.5966157033913,1741.5424459943547,2760.3174104982922,2150.9576876842557,5704.6375064878575,3659.9965614737944,0.0,0.0,84.0,76.0,3085.01804719
5410,3085.01804719,2637.1928467914513,2576.668063371764,2020.5966157033913,2841.9836060751645,2254.584555450294,6064.810543718575,3640.1212784569416,0.0,0.0,82.0,90.0,3217.706995456236
5411,3217.706995456236,3085.01804719,2637.1928467914513,2576.668063371764,2701.943834181606,3241.9072093395885,5807.116024568478,6306.206464769449,0.0,0.0,82.0,90.0,2944.7635009963024
5412,2944.7635009963024,3217.706995456236,3085.01804719,2637.1928467914513,2537.1911613656544,2168.962355828934,5960.833801689408,6301.789735210148,0.0,0.0,82.0,90.0,2902.8617278595957
5413,2902.8617278595957,2944.7635009963024,3217.706995456236,3085.01804719,2619.56749777363,1950.5057156735015,5926.973940452243,6025.302464797928,0.0,0.0,82.0,90.0,2927.8863979273506
5414,2927.8863979273506,2902.8617278595957,2944.7635009963024,3217.706995456236,2708.619157993976,1950.5057156735015,5533.5403315637805,5908.848028751035,0.0,0.0,82.0,90.0,2893.8412072537767
5415,2893.8412072537767,2927.8863979273506,2902.8617278595957,2944.7635009963024,2701.943834181606,2059.7340357512176,5348.659496313071,5618.668896704983,0.0,0.0,81.0,91.0,2859.7960165802033
5416,2859.7960165802033,2893.8412072537767,2927.8863979273506,2902.8617278595957,2559.0634989636337,2893.016751069374,5639.614587120914,5362.498582265545,0.0,0.0,81.0,91.0,2757.6604445594817
5417,2757.6604445594817,2859.7960165802033,2893.8412072537767,2927.8863979273506,2264.7811385544514,1902.8933710242409,4933.351817775821,5020.938163012964,0.0,0.0,81.0,91.0,2455.0365274610476
5418,2455.0365274610476,2757.6604445594817,2859.7960165802033,2893.8412072537767,997.0377268689483,959.98223189182,972.3473426070542,4846.919018376519,0.0,0.0,81.0,90.0,885.1749575129201
5419,885.1749575129201,2455.0365274610476,2757.6604445594817,2859.7960165802033,997.0377268689483,951.8467892486688,964.1071108900451,1086.22102295067,0.0,0.0,81.0,90.0,953.2653388600677
5420,953.2653388600677,885.1749575129201,2455.0365274610476,2757.6604445594817,947.1858405255009,866.3579575394917,929.0486704940434,1016.2894715950764,0.0,0.0,81.0,90.0,919.2201481864938
5421,919.2201481864938,953.2653388600677,885.1749575129201,2455.0365274610476,889.6644332061386,866.3579575394917,799.4522989447212,990.5252158324895,0.0,0.0,80.0,93.0,826.9780503786056
5422,826.9780503786056,919.2201481864938,953.2653388600677,885.1749575129201,856.7138986429482,789.0045684734657,747.3141055352828,914.2630187752318,0.0,0.0,80.0,93.0,793.2238442407036
5423,793.2238442407036,826.9780503786056,919.2201481864938,953.2653388600677,807.2880967981627,758.0632128470553,712.5553099289906,846.5398321992888,0.0,0.0,80.0,93.0,720.1867257871392
5424,720.1867257871392,793.2238442407036,826.9780503786056,919.2201481864938,1673.1610801115353,1661.7295447815804,634.2977903414136,2241.942316605848,0.0,0.0,82.0,80.0,750.4283328872916
5425,750.4283328872916,720.1867257871392,793.2238442407036,826.9780503786056,1673.1610801115353,1661.7295447815804,634.2977903414136,2394.910981752505,0.0,0.0,82.0,80.0,750.4283328872916
5426,750.4283328872916,750.4283328872916,720.1867257871392,793.2238442407036,1673.1610801115353,1661.7295447815804,623.3616215424238,2687.8137636934594,0.0,0.0,82.0,80.0,717.0759625367454
5427,717.0759625367454,750.4283328872916,750.4283328872916,720.1867257871392,1673.1610801115353,1661.7295447815804,623.3616215424238,3064.31744196334,0.0,0.0,85.0,68.0,1372.1912715343294
5428,1372.1912715343294,717.0759625367454,750.4283328872916,750.4283328872916,1741.5424459943547,1647.5267281595159,653.7695055201029,3378.4950039736627,0.0,0.0,85.0,68.0,1372.1912715343294
5429,1372.1912715343294,1372.1912715343294,717.0759625367454,750.4283328872916,1741.5424459943547,1877.7543856031862,1235.7870742858577,4614.529761525003,0.0,0.0,85.0,68.0,2198.812519446576
5430,2198.812519446576,1372.1912715343294,1372.1912715343294,717.0759625367454,2020.5966157033913,2664.164341966914,1404.0973794605557,5185.05344113173,0.0,0.0,86.0,67.0,3070.2869550716264
5431,3070.2869550716264,2198.812519446576,1372.1912715343294,1372.1912715343294,2576.668063371764,2567.8692452693144,2134.9535382223194,3558.431700194166,0.0,0.0,86.0,67.0,3980.0016084261824
5432,3980.0016084261824,3070.2869550716264,2198.812519446576,1372.1912715343294,2637.1928467914513,2596.9850193445473,2090.9421272019936,5106.846151017573,0.0,0.0,86.0,67.0,4223.67517628901
5433,4223.67517628901,3980.0016084261824,3070.2869550716264,2198.812519446576,3085.01804719,2760.3174104982922,2150.9576876842557,5704.6375064878575,0.0,0.0,84.0,72.0,4353.634412482517
5434,4353.634412482517,4223.67517628901,3980.0016084261824,3070.2869550716264,3217.706995456236,2841.9836060751645,2254.584555450294,6064.810543718575,0.0,0.0,84.0,72.0,3801.3076586601087
5435,3801.3076586601087,4353.634412482517,4223.67517628901,3980.0016084261824,2944.7635009963024,2701.943834181606,3241.9072093395885,5807.116024568478,0.0,0.0,84.0,72.0,3901.652290145804
5436,3901.652290145804,3801.3076586601087,4353.634412482517,4223.67517628901,2902.8617278595957,2537.1911613656544,2168.962355828934,5960.833801689408,0.0,0.0,82.0,80.0,3935.867221798519
5437,3935.867221798519,3901.652290145804,3801.3076586601087,4353.634412482517,2927.8863979273506,2619.56749777363,1950.5057156735015,5926.973940452243,0.0,0.0,82.0,80.0,3616.288259344793
5438,3616.288259344793,3935.867221798519,3901.652290145804,3801.3076586601087,2893.8412072537767,2708.619157993976,1950.5057156735015,5533.5403315637805,0.0,0.0,82.0,80.0,3405.679541398456
5439,3405.679541398456,3616.288259344793,3935.867221798519,3901.652290145804,2859.7960165802033,2701.943834181606,2059.7340357512176,5348.659496313071,0.0,0.0,82.0,86.0,3035.0657018997126
5440,3035.0657018997126,3405.679541398456,3616.288259344793,3935.867221798519,2757.6604445594817,2559.0634989636337,2893.016751069374,5639.614587120914,0.0,0.0,82.0,86.0,2977.1303344373414
